,Project,HoleID,From,To,SG,Code,Lith,Geol
10709,UpperCanada,UC13_484,280.42,281.15,2.92,V4Ma,Trachyte mafic altered,Trachyte
10710,UpperCanada,UC13_484,281.15,281.76,2.88,V4Ma,Trachyte mafic altered,Trachyte
10711,UpperCanada,UC13_484,281.76,282.85,2.68,FP,Feldspar Porphyry,Porphyry
10712,UpperCanada,UC13_484,282.85,283.77,2.7,FP,Feldspar Porphyry,Porphyry
10713,UpperCanada,UC13_484,283.77,284.68,2.67,1SMa,Mafic Syenite,Syenite
10714,UpperCanada,UC13_484,284.68,285.9,2.69,1SMa,Mafic Syenite,Syenite
10715,UpperCanada,UC13_484,285.9,287.0,2.66,1SMa,Mafic Syenite,Syenite
10716,UpperCanada,UC13_484,287.0,287.82,2.66,FP,Feldspar Porphyry,Porphyry
10717,UpperCanada,UC13_484,293.22,294.13,2.94,V4,Trachyte,Trachyte
10718,UpperCanada,UC13_484,294.13,295.05,2.85,V4,Trachyte,Trachyte
10719,UpperCanada,UC13_484,295.05,295.96,2.79,V4,Trachyte,Trachyte
10720,UpperCanada,UC13_484,295.96,296.88,2.8,V4,Trachyte,Trachyte
10721,UpperCanada,UC13_484,296.88,297.79,2.82,V4,Trachyte,Trachyte
10722,UpperCanada,UC13_484,297.79,298.4,2.78,V4,Trachyte,Trachyte
10723,UpperCanada,UC13_484,287.82,288.65,2.78,V4,Trachyte,Trachyte
10724,UpperCanada,UC13_484,288.65,289.56,2.78,V4,Trachyte,Trachyte
10725,UpperCanada,UC13_484,289.56,290.47,2.84,V4,Trachyte,Trachyte
10726,UpperCanada,UC13_481,266.7,267.61,2.78,ALBp,Proto-Albite,Albitite
10727,UpperCanada,UC13_481,267.61,268.53,2.64,ALBp,Proto-Albite,Albitite
10728,UpperCanada,UC13_481,274.02,274.93,2.72,ALBp,Proto-Albite,Albitite
10729,UpperCanada,UC13_481,274.93,275.84,2.74,ALBp,Proto-Albite,Albitite
10730,UpperCanada,UC13_481,275.84,276.76,2.73,ALBp,Proto-Albite,Albitite
10731,UpperCanada,UC13_481,276.76,277.67,2.73,ALBp,Proto-Albite,Albitite
10732,UpperCanada,UC13_481,277.67,278.59,2.72,ALBp,Proto-Albite,Albitite
10733,UpperCanada,UC13_481,270.36,271.27,2.73,ALBp,Proto-Albite,Albitite
10734,UpperCanada,UC13_481,271.27,272.19,2.75,ALBp,Proto-Albite,Albitite
10735,UpperCanada,UC13_481,272.19,273.1,2.73,ALBp,Proto-Albite,Albitite
10736,UpperCanada,UC13_481,273.1,274.02,2.72,ALBp,Proto-Albite,Albitite
10737,UpperCanada,UC13_481,291.08,292.0,2.81,V4Ta,Trachytic tuff altered,Trachyte
10738,UpperCanada,UC13_481,292.0,292.91,2.82,V4Ta,Trachytic tuff altered,Trachyte
10739,UpperCanada,UC13_481,290.17,291.08,2.81,V4Ta,Trachytic tuff altered,Trachyte
10740,UpperCanada,UC13_481,284.68,285.6,2.8,V4Ta,Trachytic tuff altered,Trachyte
10741,UpperCanada,UC13_481,285.6,286.51,2.82,V4Ta,Trachytic tuff altered,Trachyte
10742,UpperCanada,UC13_481,286.51,287.43,2.8,V4Ta,Trachytic tuff altered,Trachyte
10743,UpperCanada,UC13_481,287.43,288.34,2.81,V4Ta,Trachytic tuff altered,Trachyte
10744,UpperCanada,UC13_481,288.34,289.26,2.83,V4Ta,Trachytic tuff altered,Trachyte
10745,UpperCanada,UC13_481,289.26,290.17,2.82,V4Ta,Trachytic tuff altered,Trachyte
10746,UpperCanada,UC13_481,279.5,280.11,2.87,V4Ta,Trachytic tuff altered,Trachyte
10747,UpperCanada,UC13_481,280.11,281.03,2.87,V4Ta,Trachytic tuff altered,Trachyte
10748,UpperCanada,UC13_481,281.03,281.94,2.78,V4Ta,Trachytic tuff altered,Trachyte
